ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3921	"ENSG00000134851.8"	"TMEM165"	chr4	+	56284102	56284331	56284102	56284152	56290704	56290810	3921	0,0	342,536	75,46	212,208	197	99	0.0	0.0	0.0,0.0	0.151,0.1	-0.126
9851	"ENSG00000112306.7"	"RPS12"	chr6	+	133136110	133136363	133136110	133136227	133137599	133137647	9851	199,44	6234,4746	450,286	6066,4744	197	99	0.0	0.0	0.016,0.005	0.036,0.029	-0.022
12062	"ENSG00000168488.14"	"ATXN2L"	chr16	+	28847253	28847806	28847253	28847443	28848048	28848558	12062	126,109	93,103	154,109	45,28	197	99	6.85380929788e-09	1.87862912855e-05	0.405,0.347	0.632,0.662	-0.271
13370	"ENSG00000164104.7"	"HMGB2"	chr4	-	174254219	174254365	174254268	174254365	174253971	174254146	13370	1702,1528	18,143	1916,1433	25,16	147	99	2.24391912829e-08	4.61293674798e-05	0.985,0.878	0.981,0.984	-0.051
2470	"ENSG00000198546.10"	"ZNF511"	chr10	+	135125219	135125460	135125219	135125320	135126291	135126621	2470	15,10	21,26	21,24	3,4	197	99	5.79708050452e-08	9.53387859773e-05	0.264,0.162	0.779,0.751	-0.552
7141	"ENSG00000135446.12"	"CDK4"	chr12	-	58144989	58145519	58145282	58145519	58144690	58144873	7141	234,45	17,12	153,178	0,0	197	99	1.29757002254e-07	0.000177831971589	0.874,0.653	1.0,1.0	-0.236
10437	"ENSG00000156976.10"	"EIF4A2"	chr3	+	186501365	186501580	186501365	186501428	186502220	186502266	10437	21,12	579,530	18,16	129,149	197	99	1.9925196959e-07	0.000234064135134	0.018,0.011	0.066,0.051	-0.044
5219	"ENSG00000162923.10"	"WDR26"	chr1	-	224619178	224619283	224619226	224619283	224612219	224612356	5219	60,24	103,130	70,57	50,37	146	99	2.71831194221e-07	0.00027940848876	0.283,0.111	0.487,0.511	-0.302
11404	"ENSG00000132424.10"	"PNISR"	chr6	-	99851704	99852578	99852478	99852578	99850415	99850586	11404	113,114	82,52	73,61	138,93	197	99	4.28946548725e-07	0.000391914163352	0.409,0.524	0.21,0.248	0.238
5463	"ENSG00000118513.14"	"MYB"	chr6	+	135521427	135521695	135521427	135521553	135522776	135522887	5463	5,0	286,157	20,12	170,145	197	99	4.83293427056e-07	0.000397412185068	0.009,0.0	0.056,0.04	-0.044
4065	"ENSG00000204387.8"	"C6orf48"	chr6	+	31802684	31802977	31802684	31802834	31803187	31803239	4065	1013,777	18,48	1695,1025	21,11	197	99	1.82730913856e-06	0.00136599664058	0.966,0.891	0.976,0.979	-0.049
9237	"ENSG00000234741.3"	"GAS5"	chr1	-	173833621	173833842	173833812	173833842	173833394	173833442	9237	425,1050	18,0	1237,787	53,41	197	99	2.23412395117e-06	0.00153093343754	0.922,1.0	0.921,0.906	0.048
